Tipo de documento,CUFE/CUDE,Folio,Prefijos,Fecha Emisión,Fecha Recepción,NIT Emisor,Nombre Emisor,NIT Receptor,Nombre Receptor,IVA,ICA,IPC,Total,Estado,Grupo
Factura electrónica,57b15d5ef2f86136e7299e3aa9417228c6e26d97f405cb9f638df7307508acdaf7457b06eec68d4bbdfb8ac2e122aedd,136,SKGS,01-03-2023,01-03-2023 20:17:51,900798404,SKEMA KAPITAL GROUP SAS,900673912,SNF COLOMBIA S A S,1401060,0,0,8775060,Aprobado con notificación,Recibido
Factura electrónica,b21796b0c7c7f7f29ef339bdbce41d70ec1db4789adce9be23f1486047021fd747b09f3cc48401598ec365f3f612ac06,5435,FESI,01-03-2023,01-03-2023 21:52:08,830143150,Software y Servicios Informaticos SAS,900673912,SNF COLOMBIA S A S,163466.5,0,0,1023816.5,Aprobado con notificación,Recibido
Factura electrónica,77a956ef7397e8321a18425d372ead2fbd8abf2f8787b4968233d09a6e6b792ac7f392ad7e584162aabdbbe45c9291c4,291126765,3,01-03-2023,08-03-2023 18:06:47,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,27478.94,0,0,172105,Aprobado con notificación,Recibido
Factura electrónica,2039ce874087f301f38e1a7798314956a8b9f16ba89d4a4cfd4cb61f2b39b4f4683b65058c9a31e9d2d4e54416eb9381,291146282,3,01-03-2023,08-03-2023 18:18:07,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,20622.6,0,0,129162.6,Aprobado con notificación,Recibido
Factura electrónica,02d6d33eb155c986d1f5208e5602d91e9d632439c886617f7fe8668097125f5bc4d19a9591ba9f2413d1124519a48cab,5665106842,E,01-03-2023,02-03-2023 06:58:40,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS -,0,0,0,0,Aprobado con notificación,Recibido
Factura electrónica,b8510ce59d242bb1b86c4e4e94103292f565c710473ecdcbd560d00bfdc9b168d939eb77cc7dbd2b8181069a15347f98,7435,ETR,01-03-2023,01-03-2023 17:35:05,900220423,Zona logistica S.A.S,900673912,SNF COLOMBIA S A S,490200,0,0,3070200,Aprobado con notificación,Recibido
Factura electrónica,6f219d01477dba68b704a60439e2c5e94d86de4b570eb89b8e360df33629c51a1bba2894f2c63c017a5d3b59b9d0368d,2394,M06F,01-03-2023,02-03-2023 01:24:51,900430148,IMC AIRPORT SHOPPES,900673912,SNF COLOMBIA SAS,0,0,0,88000,Aprobado con notificación,Recibido
Factura electrónica,809a4e3d3dadd7d775c38378e214deb0d885c66bd1e0213365cdb193944f46124ca8840a5249523fc311223ba92b4a0b,1317,AFV,01-04-2023,01-04-2023 14:00:54,900825359,ARKTICS S.A.S.,900673912,SNF COLOMBIA SAS,124824.77,0,0,781797.22,Aprobado con notificación,Recibido
Factura electrónica,14e9daec6fa14b86e70a8880a84361df213dd0282fc999ea341f7289ff9650f6791b90dc78b79c54ddd1ae6533e51f5d,1316,AFV,01-04-2023,01-04-2023 13:52:00,900825359,ARKTICS S.A.S.,900673912,SNF COLOMBIA SAS,215771.6,0,0,1351411.6,Aprobado con notificación,Recibido
Factura electrónica,981695073547f0afb1a6d9e973d0357daefe6d8cc3e9a1d07dc8aa476acfefa9db706cb47a84cd94771acabb0acee63e,291171442,3,01-04-2023,11-04-2023 01:35:55,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,30357.44,0,0,190133,Aprobado con notificación,Recibido
Factura electrónica,c60685878295b13bce3988458405415e3df8c9a08860b7c1adb72402a23e6becbec7301e6c8ff8fabd88ef98ebf6be40,291190943,3,01-04-2023,11-04-2023 01:44:23,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,20721.4,0,0,129781.4,Aprobado con notificación,Recibido
Factura electrónica,55a27449d1c6e050151cb7808c8f15287dde9d043d7e4e0d2a6939e6e771f9abbb59bc0e10c20a9b08f5560ee8b56093,190829,FA,01-04-2023,01-04-2023 15:23:40,860074389,GRUPO EMPRESARIAL OIKOS SAS   ,900673912,SNF COLOMBIA SAS   ,4386656.73,0,0,31366123.73,Aprobado con notificación,Recibido
Factura electrónica,b352a8d817538a31d3458fa0c790d3fcd090e787cbfdda600ad1ace2e24d1555d6634a2fd3077d8a110416e781ca98a2,291215862,3,01-05-2023,09-05-2023 21:58:17,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,30357.44,0,0,190133,Aprobado con notificación,Recibido
Factura electrónica,bcd5019eb1247f3d777ca3863b58a57253d8b5e40db67de2fae186ba78a00455ab41b338d28b9ebec7f5300197c34142,291235324,3,01-05-2023,09-05-2023 22:09:06,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,20252.1,0,0,126842.1,Aprobado con notificación,Recibido
Factura electrónica,31d0155975ac3f04f3a2eed1e59af460d89ea06eb930e762d5481968fcc310203c2b298d9577c06020ca1be241aaabb4,1959,,01-05-2023,01-05-2023 17:01:58,52818944,ILEANA DEL CARMEN RODRIGUEZ TORRES,900673912,SNF COLOMBIA SAS,3193.28,0,0,20000,Aprobado con notificación,Recibido
Factura electrónica,66443e527b31668f6f5a2e77c1fb953d447c6c4dd11a2483300236ed3360248ab2d38a0583cf7574fba11f1b792f8279,291260195,3,01-06-2023,07-06-2023 22:43:48,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,30357.44,0,0,190133,Aprobado con notificación,Recibido
Factura electrónica,83727f570787d96cf0cd44f394ab0ba7dac518f7ddcc0ebde5d815f4cbdbc3dfc3adfc5e7c2ff33962b232fb7729015f,253314,,01-06-2023,01-06-2023 21:55:01,860506204,AGENCIA DE ADUANAS CEVA LOGISTICS,900673912,SNF COLOMBIA S.A.S,98376.49,0,0,4878332.77,Aprobado con notificación,Recibido
"Factura electrónica,0d16123a5536ee5a4140e6de5d27fd857616691bb13d3ebebab924569b95e3e93e0805c924c15bd974790e1c1dd27725,35288,003,01-06-2023,01-06-2023 22:03:27,811001259,""AGENCIA DE ADUANAS ROLDAN S.A.S., NIVEL 1"",900673912,SNF COLOMBIA S A S,127010,0,0,2782659,Aprobado con notificación,Recibido"
"Factura electrónica,38dc70d0959f79f611c6529e2f657d31e09057f04f61ee397f870c53f0b720dd586c0520ae443a7c843ddfaa188269a9,35289,003,01-06-2023,01-06-2023 21:59:28,811001259,""AGENCIA DE ADUANAS ROLDAN S.A.S., NIVEL 1"",900673912,SNF COLOMBIA S A S,0,0,0,2327298,Aprobado con notificación,Recibido"
Factura electrónica,77393f186b4a3893470ca3f170591f23f7b29d1c910c458f83f45696944c089f61e55111f2d48baa9c69b92e08de4473,5483362,2GEN,01-06-2023,02-06-2023 23:27:57,860002184,AXA COLPATRIA SEGUROS S.A.,900673912,SNF COLOMBIA S.A.S.,103996.84,0,0,651348.62,Aprobado con notificación,Recibido
Factura electrónica,862458ab99ab50b1a2a415a455fda32c9c7c4c413177a58d699c7aa322199425861cd868b03d47d8d10da8670480ed28,3979,010F,01-06-2023,01-06-2023 17:20:12,860533413,IRCC SAS INDUSTRIA DE RESTAURANTES CASUALES SAS,900673912,SNF COLOMBIA S A S,0,0,0,109700,Aprobado con notificación,Recibido
Factura electrónica,0bd23712b0d471f1be45468ed4ecdb3b89c5359c39d1f2f94e160934865b34178f9ebc62d19b219a3e2c7b720b869acd,61526,E028,01-07-2023,01-07-2023 14:16:57,890304099,HOTELES ESTELAR S.A.,900673912,SNF COLOMBIA SAS  ,56810,0,0,504810,Aprobado con notificación,Recibido
Factura electrónica,44fe4e286ff5d970d99078dc859074ff3edde4ecb7aee4fedb12a0953ef2b9860e59b0e7c26e3e1008e3bd702b32119f,291304370,3,01-07-2023,08-07-2023 22:22:46,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,30357.44,0,0,190133,Aprobado con notificación,Recibido
Factura electrónica,f7165717b02798e48dd569c0f241862a229add9d2027059a89abd3b8634a67fc94a84a556ab51105b2f0707a2203ea0e,291323498,3,01-07-2023,08-07-2023 22:29:38,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,20227.4,0,0,126687.4,Aprobado con notificación,Recibido
Factura electrónica,4d906ad609c5fa29612880432c21f176cf3d1ebc7918e32624f7961b64c46d537bc31b8037035878a59bb91359024ae1,291348268,3,01-08-2023,08-08-2023 21:55:25,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,30357.44,0,0,190133,Aprobado con notificación,Recibido
Factura electrónica,5615c9d29e35e10f8bfd85e10228e0b17668904b54185efda89eade015bd1bbbe818d3bfdee62d376f3cd86ce20918ca,291367294,3,01-08-2023,08-08-2023 22:03:24,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,21956.4,0,0,137516.4,Aprobado con notificación,Recibido
Factura electrónica,ac813fb8160c5347745cb35bcdcb976ab61d80fc929ebd9afed94264065772d8f4cfc044710e71d777537234821f812a,63873,E028,01-08-2023,01-08-2023 15:13:28,890304099,HOTELES ESTELAR S.A.,900673912,SNF COLOMBIA SAS  ,98420,0,0,670420,Aprobado con notificación,Recibido
Factura electrónica,544a17e7a6549703a2848ce8fa3b66ffac518615364cab6adf2cd0d6516c6b2b3b481ba0a21a5c7ae6e79ca6099f46ab,25606,K742,01-08-2023,01-08-2023 15:07:04,860512330,Servientrega S.A.,900673912,SNF COLOMBIA SAS   ,0,0,0,13000,Aprobado con notificación,Recibido
Factura electrónica,93bcbff20ffe3be9d57de991ece707ef98411e000d31500534059de917d69866b56dd97b15ffaee4b333ed0498748d9c,20072,FEFC,01-08-2023,01-08-2023 20:54:41,860006765,CIA TRANSPORTADORA S.A.S.,900673912,SNF COLOMBIA S.A.S,72961.9,0,0,456971.9,Aprobado con notificación,Recibido
Factura electrónica,4e872ccc9226932a55d9a3d71e678350f3bb684ead6fe6d3dc39388d59a953487b6afa05cd607ee847b7c4b98ee2bca4,45462,E040,01-09-2023,01-09-2023 19:41:24,890304099,HOTELES ESTELAR S.A.,900673912,SNF COLOMBIA SAS  ,308560,0,0,1932560,Aprobado con notificación,Recibido
Factura electrónica,4dcd2d3ea05dc39ae7c1e8981a0dada9e814943eec14e35795b8f8dce46c2092ffa2cc690472ae18e568994857748944,291410955,3,01-09-2023,07-09-2023 21:16:16,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,19233.7,0,0,120463.7,Aprobado con notificación,Recibido
Factura electrónica,5f115fda9ef49117c2b5f2b2d149ab3b50a5bff990a82eb60d3abe1d5d87500e9fc4b2b95ba47136037de205cbce999c,291392083,3,01-09-2023,07-09-2023 21:08:53,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,30357.44,0,0,190133,Aprobado con notificación,Recibido
Factura electrónica,33424cf67b4679f6cc2a7d300780e67cdc35bde4f5cee4441744465e02a8fe76537d63edb02ba471b819d3328ab64f52,9158770,SD01,01-09-2023,02-09-2023 18:15:44,860066942,CAJA DE COMPENSACION FAMILIAR COMPENSAR,900673912,SNF COLOMBIA SAS,55640,0,0,1168440,Aprobado con notificación,Recibido
Factura electrónica,fad4915205642b007d551946974a3bf7e440e1dabbe2fd97329a3b6e189e7a59e48f9bb4576197fa0b2d97fad7657104,167820,BOGE,01-09-2023,01-09-2023 20:10:09,800159856,MAHE NEUTRAL SHIPPING S.A.S,900673912,SNF COLOMBIA S A S,136.41,0,0,898.02,Aprobado con notificación,Recibido
Factura electrónica,2eeec1435ab095979c011c809a0ab68dd4a4f1d26e72940f663ec9eda7fb879fcafc2eb0a57a735ed3244bb431c65eaf,5913,ST,01-09-2023,01-09-2023 21:40:54,900366536,STOCKING S A S,900673912,SNF  COLOMBIA S.A.S,788603.55,0,0,4939148.55,Aprobado con notificación,Recibido
Factura electrónica,c734b8f7a1938065ea4c67c3023a2d4b38312714d356e5a8dd7718007f011f5b6a2e05e76ffcdacd6e37d5e819a127f1,2682547,OE,01-09-2023,01-09-2023 22:02:05,835000149,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,900673912,SNF COLOMBIA SAS,0,0,0,801188.64,Aprobado con notificación,Recibido
Factura electrónica,a9fdc1b25f1ea2a7e19d0f101ab383090389f0693deb3ebd2abe29a05bd592458205a0c1dc94b0985899276e07341efc,428690,LB,01-09-2023,01-09-2023 21:01:31,860532426,Naves S.A.S,900673912,SNF COLOMBIA SAS,35.91,0,0,224.91,Aprobado con notificación,Recibido
Factura electrónica,62bf49bfe26b82468f030bfe1b9df65e55c4b676c64e208303993a76ebe9613c8c27473fdbf169b41d43eacc30963c1e,428691,LB,01-09-2023,01-09-2023 21:06:28,860532426,Naves S.A.S,900673912,SNF COLOMBIA SAS,0,0,0,100,Aprobado con notificación,Recibido
Factura electrónica,b12ffe320e270abce1843b8b97bb98f346507d2f745827c1b3cf19130a1648d7dbe4c73f903864956c9282267f8796fd,428689,LB,01-09-2023,01-09-2023 21:01:14,860532426,Naves S.A.S,900673912,SNF COLOMBIA SAS,0,0,0,35,Aprobado con notificación,Recibido
Factura electrónica,99a9abe0395d30c91c21de8aab230934751940ff7ac61ff712b03f2cbe06a3b71a9ef2af4220c7fa13948bfb24b5c525,5914,ST,01-09-2023,01-09-2023 21:52:32,900366536,STOCKING S A S,900673912,SNF  COLOMBIA S.A.S,25206.54,0,0,157872.54,Aprobado con notificación,Recibido
Factura electrónica,538e914fe593d295549c32a6e94188ec60f27b39d31c8521d88151d4052074b6d9c85faa6585f0017ddeb84077c5e7ee,33289,BUN,01-09-2023,01-09-2023 23:40:45,860053047,INTERMODAL S.A.S,900673912,SNF COLOMBIA S.A.S.,54918.36,0,0,343962.36,Aprobado con notificación,Recibido
Factura electrónica,872365152ad1f4c3276b3e59b8ba708688c102d71c75c0116e3fe9da92d95ab81ec1e82dd0c7cd0ff0a07532ca9d5c8b,6569,RS3E,01-09-2023,01-09-2023 20:06:03,900665499,Hico Fish SAS,900673912,SNF COLOMBIA S A S,0,0,0,407199.99,Aprobado con notificación,Recibido
Factura electrónica,0dac85bb09ad066b75e802e4af2d0bb403ea5c9bc73b2a706fe6548204dd1ae588c9c4eff8c83dedd3155da959bfa647,7052,FENC,01-09-2023,01-09-2023 11:01:29,900078103,COMBUSTIBLES H Y R LTDA,900673912,SNF COLOMBIA,0,0,0,101068,Aprobado con notificación,Recibido
Factura electrónica,f3ef005889b0de82ade486fed8b67188f79b5ee6f334d5c6eaf5dd577a869770920945dd082a390a213e4dbdfda19495,291435828,3,01-10-2023,09-10-2023 23:24:55,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,30357.44,0,0,190133,Aprobado con notificación,Recibido
Factura electrónica,4c5dd6712d3472486b7cb37c06d67c1dd3778cdec5644b03cd295e01561641187b211eb4a468f467074ef2942c1295d9,257694,,01-11-2023,01-11-2023 16:44:45,860506204,AGENCIA DE ADUANAS CEVA LOGISTICS,900673912,SNF COLOMBIA S.A.S,90440,0,0,2195132.9,Aprobado con notificación,Recibido
Factura electrónica,e9041ca24e11794773d1ce78bf4337ccbf0f39b5d2638e83910da58fd7b109e3b0a48ca4508db604d7f5b00c6274b766,222,FA,01-11-2023,30-10-2023 14:41:54,80266702,JOSE IGNACIO BERNAL ROPERO,900673912,SNF COLOMBIA S A S,991800,0,0,6211800,Aprobado con notificación,Recibido
Factura electrónica,b1dd796184dbdd6088be4a6433c99202f42e5cc2b941394f7f453796a2b5f3d8bde37cbd038b385615ff31b8b0d4cf55,223,FA,01-11-2023,30-10-2023 15:00:20,80266702,JOSE IGNACIO BERNAL ROPERO,900673912,SNF COLOMBIA S A S,115976,0,0,726376,Aprobado con notificación,Recibido
Factura electrónica,db3b0655bbda6dabe39142a51340a86edc7f42ea1b9469059b5a10c087b14ce587f659185f4da1952f36289ae6ccab11,224,FA,01-11-2023,30-10-2023 15:12:54,80266702,JOSE IGNACIO BERNAL ROPERO,900673912,SNF COLOMBIA S A S,955700,0,0,5985700,Aprobado con notificación,Recibido
Factura electrónica,830f99f70427264cf08383948c33161f31394788ccd9ac943fc0173950e03c92a41b56a399cd801fb007d7089c0a7290,71092,E028,01-11-2023,01-11-2023 14:57:49,890304099,HOTELES ESTELAR S.A.,900673912,SNF COLOMBIA SAS  ,98420,0,0,616420,Aprobado con notificación,Recibido
Factura electrónica,b301a0e90caa6716f18ff1f6afd3581505c61038236205d51b69fd7ae780aac89e28e0b665f2d5829bca7d04373bc76b,100837,E018,01-11-2023,01-11-2023 15:33:20,890304099,HOTELES ESTELAR S.A.,900673912,SNF COLOMBIA SAS  ,69920,0,0,492920,Aprobado con notificación,Recibido
Factura electrónica,fd20df890eda29ef3a6316ebc0f3cd1808fa6f1ff8a65b178f9469506b59924813b8578c2979b929e47c61aad30f2c32,9211,ETR,01-11-2023,01-11-2023 17:41:40,900220423,Zona logistica S.A.S,900673912,SNF COLOMBIA S A S,20900,0,0,130900,Aprobado con notificación,Recibido
Factura electrónica,1b7a4a28f1a7023f4693dd5b65264e75088eeba7a0d7759ae97e6c7455df6eb982733e831c07d50a7a213462991a80dd,9212,ETR,01-11-2023,01-11-2023 17:50:43,900220423,Zona logistica S.A.S,900673912,SNF COLOMBIA S A S,0,0,0,2242894,Aprobado con notificación,Recibido
Factura electrónica,0ccfcf8076308e19fc5344171cf5e6f994cf3dac520620e90c5069ff6c2489514ce934f71df4baa231476bc4a96cb4a6,17951,BQL1,01-11-2023,01-11-2023 21:32:10,900265584,MAREAUTO COLOMBIA S.A.S,900673912,SNF COLOMBIA S A S,38684,0,0,242284,Aprobado con notificación,Recibido
Factura electrónica,5b2f7c6cf79f5a432ed2296d264d6e3f33255f9df9c5caab1809d2e6c73ea5445aad55c3a252b549c2564bed147c2dfd,178068,FTU,01-11-2023,01-11-2023 22:20:58,860062581,UNION ANDINA DE TRANSPORTES S A S,900673912,SNF COLOMBIA SAS,0,0,0,470000,Aprobado con notificación,Recibido
Factura electrónica,e3ba5ce143e5dcfcecf3c644cd2f8d964821f7b38dd173011b80719ef4e2bbcc24a03d33f80fb040d7b09a0c3f5d4fe2,178069,FTU,01-11-2023,01-11-2023 22:25:38,860062581,UNION ANDINA DE TRANSPORTES S A S,900673912,SNF COLOMBIA SAS,0,0,0,2258645,Aprobado con notificación,Recibido
Factura electrónica,3bce6c9e565ca8854491069740abe21d9c7b3c3ff95b17fc2db35c536995ce545754f9251e8054b6e94dd76c4f746a1a,178070,FTU,01-11-2023,01-11-2023 22:29:31,860062581,UNION ANDINA DE TRANSPORTES S A S,900673912,SNF COLOMBIA SAS,0,0,0,214118,Aprobado con notificación,Recibido
Factura electrónica,bf2d5c38ba1bc196aef99c3c038a85d30c454aa717cf41be20304a54e4e1762a813ba77ee6d02f49df70cf3f6b596b19,178072,FTU,01-11-2023,01-11-2023 22:36:38,860062581,UNION ANDINA DE TRANSPORTES S A S,900673912,SNF COLOMBIA SAS,0,0,0,360000,Aprobado con notificación,Recibido
Factura electrónica,bc2c36a03633d18d7aa519536f177a30e23e89e81db4601f0ef56db8fb66e960f2813c9f4ddd1228b14472b73ee8a97d,178071,FTU,01-11-2023,01-11-2023 22:32:35,860062581,UNION ANDINA DE TRANSPORTES S A S,900673912,SNF COLOMBIA SAS,0,0,0,305882,Aprobado con notificación,Recibido
Factura electrónica,742501a3be6668d78aa7af23db7c3f74537acc58ba79c501edb8960fa8f1c0d05a51a7f05c9cafa1d252f5fe064bab9a,178073,FTU,01-11-2023,01-11-2023 22:39:18,860062581,UNION ANDINA DE TRANSPORTES S A S,900673912,SNF COLOMBIA SAS,0,0,0,410000,Aprobado con notificación,Recibido
Factura electrónica,7d612274fc70f3a7585fa042dd2797335b5dec8a7703a724b26642caaece19a366e38ebb3486bf31a3051ce198934ca5,2407587,1,01-11-2023,01-11-2023 19:14:59,800084048,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,900673912,SNF COLOMBIA SAS,0,0,0,170.18,Aprobado con notificación,Recibido
Factura electrónica,3a8d82a9912715b6329165c85f80d4314eb84a30f541763550f0e343eee35e5b9f9c50d57b35b037b7c3e1781f900568,7734559,FESP,01-11-2023,01-11-2023 13:58:26,800200969,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA S.A.,900673912,SNF COLOMBIA SAS,0,0,0,186000,Aprobado con notificación,Recibido
Factura electrónica,b92cbc9398cc11f8ac27c474c0a167f7fe8e05a94a9d82efcfcf19fd764209735fef02194fec5d7319986e8cbde70cef,257710,,01-11-2023,01-11-2023 22:25:12,860506204,AGENCIA DE ADUANAS CEVA LOGISTICS,900673912,SNF COLOMBIA S.A.S,107920,0,0,1123483.12,Aprobado con notificación,Recibido
Factura electrónica,c30b6d8de267716ea46b916c36513aa3edee0d3edf59851d2cc00440a053fde5919368c8923e947f3cf2467bc2cc65d0,28,NEM,01-11-2023,02-11-2023 01:11:01,900917331,Mercados Gastronomicos SAS,900673912,SNF COLOMBIA SAS,0,0,0,240000,Aprobado con notificación,Recibido
Factura electrónica,cd62ed66816cc7fc8e91e0ebe59539bf4e6830f1340b126fa8637857616cc8f3781faf153b5675a9dba62692a9affa9a,82226,EBUE,01-11-2023,01-11-2023 21:18:51,901212636,INLAND SERVICES COLOMBIA S.A.S.,900673912,SNF COLOMBIA SAS,1045,0,0,168545,Aprobado con notificación,Recibido
Factura electrónica,a355d1ae944b4faa2b636aa3bc5d6102290030226cfa28817f2580c571f387b3158d34b7df1fa15b180de59bebc250bf,55535,FE,01-11-2023,01-11-2023 19:47:52,31228539,MARIA DALILA CONDE GUZMAN,900673912,SNF COLOMBIA S A S,6761.76,0,0,42350,Aprobado con notificación,Recibido
Factura electrónica,7ead4ba1e0a300badc65067e9d54a207868df782a685ea3f38ce223b1e81a905af02fe0f21d222e2a1801c8a74cc8a72,124447,F,01-11-2023,01-11-2023 18:50:17,901154391,OCEAN NETWORK EXPRESS COLOMBIA SAS,900673912,SNF COLOMBIA SAS,49643,0,0,887395,Aprobado con notificación,Recibido
Factura electrónica,7f4974a7998ae4e06c8ac67919aed6f6455af030e81090848a0a249fc5dbef2bc200900c557c235da132eb450dd659fe,124446,F,01-11-2023,01-11-2023 18:50:15,901154391,OCEAN NETWORK EXPRESS COLOMBIA SAS,900673912,SNF COLOMBIA SAS,49643,0,0,887395,Aprobado con notificación,Recibido
Factura electrónica,9ffbddced39bd826fd909e8e62e6f3991bc0711240b2b79a1edc78319a0c34d7babb7176e2e8b03a6dfd8865b30c11eb,466,804P,01-11-2023,01-11-2023 18:09:16,890904478,COOPERATIVA COLANTA,900673912,SNF COLOMBIA S.AS,0,0,0,89400,Aprobado con notificación,Recibido
Factura electrónica,9d63f40399e50bed8414f67f978db8f69b941d2777895ec40405c94e30cf811cb3b46122b293af863b64758e3333887d,82038,EBUE,01-11-2023,01-11-2023 15:58:54,901212636,INLAND SERVICES COLOMBIA S.A.S.,900673912,SNF COLOMBIA SAS,1045,0,0,168545,Aprobado con notificación,Recibido
Factura electrónica,f8db547bd149803ba82da8c65ab2b91f44be9fa48d801ae4dfa7f5ee060a797c824fb0631a36ee061e977e9e487d61b2,1279,CCA,01-12-2023,01-12-2023 13:23:40,900531861,CCA CONTADORES CONSULTORES ASESORES SAS,900673912,SNF COLOMBIA SAS,2815556.8,0,0,17634276.8,Aprobado con notificación,Recibido
Factura electrónica,542ee4af03a5bf19a62ac54502e2d805e7f7a9d883c4b45ff608de4bed851248ae84610b5b9cdd7ab4d34b8589cb4879,200066,FPP,01-12-2023,01-12-2023 19:24:37,900209956,PEOPLE PASS S.A.S,900673912,SNF COLOMBIA S.A.S    ,1117.2,0,0,216997.2,Aprobado con notificación,Recibido
Factura electrónica,815787d18c59018de218881ba510d662cdf6f05ee76b06cc3bffb447d137bfd224a169a9f31a68dd33d7595644b54fe6,200069,FPP,01-12-2023,01-12-2023 19:29:07,900209956,PEOPLE PASS S.A.S,900673912,SNF COLOMBIA S.A.S    ,755.82,0,0,146806.82,Aprobado con notificación,Recibido
Factura electrónica,a6e6c346122b3ea75be3f4371e4ff2c559c5d48af0073cd80c074dded96c884fd14561b0bcbbd1f6d4b2def3e4dea858,200067,FPP,01-12-2023,01-12-2023 19:26:07,900209956,PEOPLE PASS S.A.S,900673912,SNF COLOMBIA S.A.S    ,2781.6,0,0,540274.6,Aprobado con notificación,Recibido
